,Unnamed: 0,Unnamed: 0_x,Unnamed: 0.1,lat,log,IMG_VIS,IMG_SWIR,Unnamed: 0_y,cot,cer,Sun_Elevation,Sat_Elevation,Sat_Azimuth,Sun_Azimuth
4999,2929955,2929955,35717355,23.326999999999998,66.664,147,171,1994787.0,3462.0,260.0,7094.2544,5757.588,14543.958,9255.269
5000,2930001,2930001,35717401,23.316999999999997,67.148,140,185,1986701.0,1413.0,698.0,7150.5127,5796.493,14618.366,9284.087
5001,2930175,2930175,35717575,23.281,68.962,396,433,1957076.0,1686.0,3449.0,7314.1245,5912.923,14924.585,9304.419
5002,2930240,2930240,35717640,23.269000000000002,69.634,317,418,1944956.0,1345.0,2064.0,7372.299,5945.375,15078.875,9344.005
5003,2930377,2930377,35717777,23.245,71.042,322,335,1918017.0,1218.0,1157.0,7495.7007,6032.9297,15336.527,9384.447
5004,2930590,2930590,35717990,23.215,73.209,475,194,1872181.0,3890.0,2673.0,7692.9927,6111.245,15835.741,9457.193
5005,2930617,2930617,35718017,23.211,73.482,479,197,1865433.0,3833.0,3005.0,7735.9116,6130.4116,15991.768,9457.193
5006,2930668,2930668,35718068,23.205,73.997,471,185,1853287.0,4096.0,4462.0,7780.641,6130.7417,16071.811,9457.193
5007,2930730,2930730,35718130,23.198,74.622,471,199,1838438.0,3808.0,5744.0,7835.038,6164.7715,16207.142,9457.193
5008,2930851,2930851,35718251,23.186,75.836,510,225,1808726.0,3363.0,6520.0,7941.2847,6204.2773,16522.01,9457.193
5009,2932102,2932102,35728091,23.448,61.446999999999996,206,282,2055443.0,1179.0,422.0,6626.965,5416.981,13679.996,9092.458
5010,2932126,2932126,35728115,23.44,61.711999999999996,166,267,2054098.0,1077.0,488.0,6655.578,5426.4014,13690.517,9105.143
5011,2932370,2932370,35728359,23.37,64.367,152,245,2029842.0,779.0,523.0,6890.6436,5652.0317,14148.381,9169.862
5012,2932604,2932604,35728593,23.313000000000002,66.855,96,134,1993448.0,3112.0,188.0,7123.159,5794.693,14558.335,9284.087
5013,2932975,2932975,35728964,23.24,70.705,264,387,1926108.0,1602.0,664.0,7477.764,5994.335,15250.788,9364.499
5014,2933161,2933161,35729150,23.212,72.602,429,204,1887023.0,3646.0,3030.0,7648.5776,6092.5093,15663.23,9457.193
5015,2933180,2933180,35729169,23.21,72.794,451,191,1882978.0,3736.0,3175.0,7653.386,6092.5093,15801.409,9457.193
5016,2933293,2933293,35729282,23.195999999999998,73.937,476,183,1857345.0,3973.0,4956.0,7780.641,6130.7417,16071.811,9457.193
5017,2933324,2933324,35729313,23.191999999999997,74.25,481,192,1849244.0,3938.0,4242.0,7809.3823,6136.391,16146.098,9457.193
5018,2934653,2934653,35739231,23.463,60.56,77,114,2066248.0,1402.0,222.0,6549.343,5329.7485,13514.902,9045.538
5019,2934769,2934769,35739347,23.426,61.847,162,277,2059519.0,943.0,533.0,6664.9575,5429.0312,13740.433,9105.143
5020,2934896,2934896,35739474,23.388,63.235,104,168,2040618.0,936.0,653.0,6787.723,5574.9966,13978.053,9118.566
5021,2934999,2934999,35739577,23.36,64.348,144,235,2031195.0,946.0,483.0,6890.6436,5652.0317,14148.381,9169.862
5022,2935633,2935633,35740211,23.226,70.982,306,356,1922074.0,862.0,2552.0,7495.7007,6046.5273,15336.527,9364.499
5023,2935673,2935673,35740251,23.219,71.391,458,176,1913990.0,3498.0,2007.0,7544.612,6060.4414,15425.353,9447.159
5024,2935686,2935686,35740264,23.217,71.524,500,201,1911295.0,3267.0,4349.0,7545.4517,6065.511,15426.289,9447.159
5025,2935717,2935717,35740295,23.213,71.84,429,209,1904555.0,2723.0,5683.0,7590.13,6068.421,15438.626,9447.159
5026,2935981,2935981,35740559,23.179000000000002,74.512,480,194,1845201.0,3971.0,5228.0,7809.3823,6164.7715,16152.952,9403.425
5027,2935988,2935988,35740566,23.178,74.583,477,202,1843852.0,3870.0,5881.0,7835.038,6164.7715,16207.142,9403.425
5028,2936443,2936443,35741021,23.144000000000002,79.13,173,299,1723568.0,1860.0,1005.0,8242.315,6264.0903,17292.191,9640.855
5029,2936604,2936604,35741182,23.14,80.729,319,357,1678932.0,1062.0,1459.0,8397.775,6279.7266,17650.902,9707.822
5030,2937349,2937349,35750516,23.432,61.285,193,289,2063562.0,926.0,586.0,6620.008,5406.154,13633.309,9090.234
5031,2937572,2937572,35750739,23.365,63.724,148,231,2037933.0,1091.0,426.0,6836.8413,5634.404,14001.016,9140.711
5032,2937587,2937587,35750754,23.361,63.886,173,270,2036587.0,1128.0,579.0,6841.904,5634.978,14001.016,9140.711
5033,2937628,2937628,35750795,23.35,64.328,172,271,2032548.0,823.0,523.0,6890.6436,5652.0317,14148.381,9169.862
5034,2937857,2937857,35751024,23.294,66.763,106,131,1997503.0,3095.0,220.0,7121.171,5794.693,14543.958,9257.561
5035,2938252,2938252,35751419,23.217,70.861,295,374,1926124.0,1125.0,802.0,7477.764,6046.5273,15325.725,9365.207
5036,2938278,2938278,35751445,23.213,71.127,320,276,1920734.0,1111.0,643.0,7495.7007,6046.5273,15336.527,9385.155
5037,2938529,2938529,35751696,23.178,73.676,508,189,1865449.0,3778.0,4381.0,7746.978,6130.4116,15991.768,9403.425
5038,2938548,2938548,35751715,23.176,73.868,481,188,1861402.0,3673.0,4252.0,7746.978,6130.7417,16071.811,9403.425
5039,2938806,2938806,35751973,23.15,76.459,549,218,1796574.0,3659.0,6064.0,7996.8486,6215.999,16599.89,9403.425
5040,2938906,2938906,35752073,23.143,77.457,544,234,1769541.0,3618.0,11878.0,8096.8135,6236.3228,16868.955,9403.425
5041,2939032,2939032,35752199,23.136,78.712,174,320,1737094.0,1272.0,629.0,8232.718,6256.8833,17176.77,9640.855
5042,2939948,2939948,35761704,23.432,60.931999999999995,101,166,2066259.0,1216.0,290.0,6575.8433,5377.229,13585.901,9071.625
5043,2939974,2939974,35761730,23.423000000000002,61.221000000000004,186,278,2064914.0,927.0,679.0,6620.008,5381.4487,13633.309,9080.467
5044,2940058,2940058,35761814,23.397,62.147,134,228,2059530.0,897.0,516.0,6692.8022,5480.6904,13768.83,9118.566
5045,2940169,2940169,35761925,23.364,63.358000000000004,162,267,2046040.0,1092.0,398.0,6802.541,5605.526,13974.511,9126.033
5046,2940257,2940257,35762013,23.34,64.308,173,294,2033901.0,839.0,498.0,6883.4165,5652.0317,14088.711,9170.177
5047,2940580,2940580,35762336,23.263,67.729,227,321,1984043.0,1563.0,850.0,7205.6006,5850.973,14723.464,9242.602
5048,2940767,2940767,35762523,23.226999999999997,69.67,350,445,1950377.0,1261.0,2437.0,7379.0293,5958.9727,15105.705,9306.564
5049,2940809,2940809,35762565,23.219,70.102,378,434,1942296.0,1874.0,841.0,7406.3765,6006.9995,15137.875,9307.272
5050,2941080,2941080,35762836,23.178,72.868,444,196,1885693.0,3861.0,3293.0,7653.386,6098.385,15801.409,9403.425
